control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07107006-6001,7,Chiapas,107,Villa Corzo,006-6,1,1936,10965.308,107_006-6_001,77078.1188605,110604295.076,107_006-6_001,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
07107027-8010,7,Chiapas,107,Villa Corzo,027-8,10,46,195.6419,107_027-8_010,6362.38888925,2035625.86592,107_027-8_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07094003-2019,7,Chiapas,94,Teopisca,003-2,19,21,36.7311,094_003-2_019,3475.56032769,365736.970948,094_003-2_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5
07046010-5008,7,Chiapas,46,Jiquipilas,010-5,8,575,2436.945,046_010-5_008,22473.8788468,25885034.9951,046_010-5_008,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
07094004-7007,7,Chiapas,94,Teopisca,004-7,7,700,171.0286,094_004-7_007,6188.05758682,1727443.57347,094_004-7_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07090001-4005,7,Chiapas,90,Tapalapa,001-4,5,34,172.3265,090_001-4_005,5315.92978065,1719749.40206,090_001-4_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
07017029-8012,7,Chiapas,17,Cintalapa,029-8,12,10,509.6725,017_029-8_012,12715.1555957,5072355.45098,017_029-8_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07116004-6001,7,Chiapas,116,Marqués de Comillas,004-6,1,315,9070.8535,116_004-6_001,62545.3947095,91818192.5603,116_004-6_001,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
07107005-1003,7,Chiapas,107,Villa Corzo,005-1,3,511,5193.1214,107_005-1_003,44910.5289111,52283074.5296,107_005-1_003,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07059015-6005,7,Chiapas,59,Ocosingo,015-6,5,270,987.1102,059_015-6_005,19082.4249788,10334659.7638,059_015-6_005,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07077004-6002,7,Chiapas,77,Salto de Agua,004-6,2,819,2417.7922,077_004-6_002,23013.8263011,24803325.8227,077_004-6_002,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017016-0003,7,Chiapas,17,Cintalapa,016-0,3,4,1492.0475,017_016-0_003,21132.5044735,14868918.8991,017_016-0_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3
07030008-8006,7,Chiapas,30,Chicomuselo,008-8,6,378,600.6809,030_008-8_006,11971.2880861,6294500.29308,030_008-8_006,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
07012004-1006,7,Chiapas,12,Berriozábal,004-1,6,34,115.9247,012_004-1_006,4589.89441403,1155754.30161,012_004-1_006,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07044003-0005,7,Chiapas,44,Ixtapa,003-0,5,8,107.9917,044_003-0_005,7324.96307809,1076161.09139,044_003-0_005,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07027006-3006,7,Chiapas,27,Chiapa de Corzo,006-3,6,3,192.2771,027_006-3_006,6180.4126188,1915418.02993,027_006-3_006,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07101039-7010,7,Chiapas,101,Tuxtla Gutiérrez,039-7,10,149,327.14,101_039-7_010,10287.7736176,3415839.75048,101_039-7_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017024-5040,7,Chiapas,17,Cintalapa,024-5,40,40,261.7581,017_024-5_040,7340.79107364,2606047.76424,017_024-5_040,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07004011-A004,7,Chiapas,4,Altamirano,011-A,4,655,2025.0631,004_011-A_004,29049.3872363,20532132.914,004_011-A_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6
07017017-5010,7,Chiapas,17,Cintalapa,017-5,10,61,384.1609,017_017-5_010,8090.85073273,3834269.1546,017_017-5_010,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07047002-8009,7,Chiapas,47,Jitotol,002-8,9,40,99.92,047_002-8_009,4702.1338667,996975.295067,047_002-8_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,40
07043002-9010,7,Chiapas,43,Ixtacomitán,002-9,10,92,336.1064,043_002-9_010,9345.74297168,3493595.14478,043_002-9_010,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07017015-6001,7,Chiapas,17,Cintalapa,015-6,1,5,2365.1876,017_015-6_001,24993.9087819,23573438.2493,017_015-6_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07020006-2010,7,Chiapas,20,La Concordia,006-2,10,473,2942.3389,020_006-2_010,43947.180429,32392718.4789,020_006-2_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07086004-5008,7,Chiapas,86,Suchiapa,004-5,8,82,606.9183,086_004-5_008,10592.0013048,6050921.64614,086_004-5_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07099012-8015,7,Chiapas,99,La Trinitaria,012-8,15,25,262.1238,099_012-8_015,10799.5038795,2605443.28608,099_012-8_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07052016-A004,7,Chiapas,52,Las Margaritas,016-A,4,27,222.9255,052_016-A_004,6215.92077624,2218432.90598,052_016-A_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,23
07034005-3019,7,Chiapas,34,Frontera Comalapa,005-3,19,166,261.2179,034_005-3_019,8775.33140172,2616117.92232,034_005-3_019,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07116005-0004,7,Chiapas,116,Marqués de Comillas,005-0,4,174,2222.0386,116_005-0_004,19497.2666329,22522398.7828,116_005-0_004,2,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,49
07065011-5004,7,Chiapas,65,Palenque,011-5,4,2,758.0827,065_011-5_004,15887.0359511,7578765.39638,065_011-5_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07080005-6002,7,Chiapas,80,Siltepec,005-6,2,431,5408.7914,080_005-6_002,34970.241187,53602102.2556,080_005-6_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07108013-3003,7,Chiapas,108,Villaflores,013-3,3,77,1437.7804,108_013-3_003,22038.1299291,14306347.1065,108_013-3_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07019017-A013,7,Chiapas,19,Comitán de Domínguez,017-A,13,113,942.5134,019_017-A_013,15690.6322221,9370640.80203,019_017-A_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07046014-3001,7,Chiapas,46,Jiquipilas,014-3,1,575,5204.6666,046_014-3_001,55449.152672,53172439.3936,046_014-3_001,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3
07026002-8005,7,Chiapas,26,Chenalhó,002-8,5,341,745.6994,026_002-8_005,13195.6912103,7563347.2221,026_002-8_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017029-8021,7,Chiapas,17,Cintalapa,029-8,21,25,243.3289,017_029-8_021,8613.09450601,2421526.48518,017_029-8_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,8
07034007-2004,7,Chiapas,34,Frontera Comalapa,007-2,4,529,2515.9564,034_007-2_004,38363.1163761,25814812.2355,034_007-2_004,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3
07083008-1004,7,Chiapas,83,Socoltenango,008-1,4,148,421.0119,083_008-1_004,9058.45212828,4387150.33474,083_008-1_004,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,11
07061010-1014,7,Chiapas,61,Ocozocoautla de Espinosa,010-1,14,50,460.7867,061_010-1_014,11372.1983713,4593981.69306,061_010-1_014,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017020-7001,7,Chiapas,17,Cintalapa,020-7,1,53,1133.7283,017_020-7_001,18180.9290195,11871688.4818,017_020-7_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,25
07092004-2021,7,Chiapas,92,Tecpatán,004-2,21,23,155.1038,092_004-2_021,8776.32199647,1549026.38008,092_004-2_021,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07001003-3009,7,Chiapas,1,Acacoyagua,003-3,9,457,2356.7676,001_003-3_009,28457.0059388,24093456.9398,001_003-3_009,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
07108018-6004,7,Chiapas,108,Villaflores,018-6,4,280,1481.485,108_018-6_004,24952.0484514,15532024.9821,108_018-6_004,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07047001-3017,7,Chiapas,47,Jitotol,001-3,17,13,360.7734,047_001-3_017,8091.58408789,3599728.7762,047_001-3_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07078001-A001,7,Chiapas,78,San Cristóbal de las Casas,001-A,1,493,1442.1245,078_001-A_001,18119.5249336,15043783.6145,078_001-A_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3
07019011-2014,7,Chiapas,19,Comitán de Domínguez,011-2,14,32,712.6408,019_011-2_014,14343.1681589,7088906.50833,019_011-2_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07030009-2014,7,Chiapas,30,Chicomuselo,009-2,14,1,15.1774,030_009-2_014,1855.17314185,150576.284258,030_009-2_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07051007-3003,7,Chiapas,51,Mapastepec,007-3,3,88,1255.002,051_007-3_003,27267.356884,12801981.8835,051_007-3_003,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,32
07116010-1007,7,Chiapas,116,Marqués de Comillas,010-1,7,100,1241.9933,116_010-1_007,18003.7714026,12823536.0902,116_010-1_007,,1,,,,,,,,,,,,,4,1,,,,8,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,12,,,,,,,,,46
07038001-4011,7,Chiapas,38,Huixtán,001-4,11,422,1139.4061,038_001-4_011,16936.6247274,11350744.3666,038_001-4_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07019017-A016,7,Chiapas,19,Comitán de Domínguez,017-A,16,82,45.1022,019_017-A_016,5589.64031489,506033.260536,019_017-A_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07059009-0004,7,Chiapas,59,Ocosingo,009-0,4,397,3938.9128,059_009-0_004,26997.9182435,40518246.4964,059_009-0_004,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,4
07061003-1005,7,Chiapas,61,Ocozocoautla de Espinosa,003-1,5,143,374.5108,061_003-1_005,12123.300124,3737227.01118,061_003-1_005,,,,,,,,,,1,,,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
07083006-2009,7,Chiapas,83,Socoltenango,006-2,9,14,1611.8862,083_006-2_009,31075.7294887,16018258.0762,083_006-2_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
07116008-4003,7,Chiapas,116,Marqués de Comillas,008-4,3,286,3910.0298,116_008-4_003,24968.722187,39527838.8376,116_008-4_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017013-7002,7,Chiapas,17,Cintalapa,013-7,2,360,2746.8911,017_013-7_002,25885.8806712,28519128.9519,017_013-7_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,7
07017011-8014,7,Chiapas,17,Cintalapa,011-8,14,103,1223.7322,017_011-8_014,16490.1765811,12197764.4016,017_011-8_014,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017029-8003,7,Chiapas,17,Cintalapa,029-8,3,118,229.2421,017_029-8_003,7803.61825433,2287657.27777,017_029-8_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07049001-8010,7,Chiapas,49,Larráinzar,001-8,10,540,626.1902,049_001-8_010,15602.8318413,6261939.6305,049_001-8_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,9,,,,,,10
07099024-0025,7,Chiapas,99,La Trinitaria,024-0,25,594,444.0245,099_024-0_025,11397.3761521,5191030.79787,099_024-0_025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,16
07047002-8042,7,Chiapas,47,Jitotol,002-8,42,4,39.879,047_002-8_042,3763.0581529,397943.540814,047_002-8_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07087003-8015,7,Chiapas,87,Suchiate,003-8,15,78,548.6021,087_003-8_015,11305.4335234,5745205.41493,087_003-8_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
07057005-8011,7,Chiapas,57,Motozintla,005-8,11,108,805.8738,057_005-8_011,13237.8343912,8014178.62307,057_005-8_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07017025-A002,7,Chiapas,17,Cintalapa,025-A,2,172,1175.299,017_025-A_002,21656.7970987,12085764.8907,017_025-A_002,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07089029-7010,7,Chiapas,89,Tapachula,029-7,10,67,436.1399,089_029-7_010,12022.6879682,4306609.02941,089_029-7_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
07065021-9011,7,Chiapas,65,Palenque,021-9,11,73,1293.7624,065_021-9_011,16940.5487566,13251698.4914,065_021-9_011,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07016007-4005,7,Chiapas,16,Catazajá,007-4,5,7,464.0859,016_007-4_005,14546.9154501,4642374.66023,016_007-4_005,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07047003-2015,7,Chiapas,47,Jitotol,003-2,15,650,1262.9023,047_003-2_015,17394.0900396,12904685.6991,047_003-2_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,13
07046007-3002,7,Chiapas,46,Jiquipilas,007-3,2,83,111.4036,046_007-3_002,5660.60618259,1719432.78653,046_007-3_002,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07111002-0013,7,Chiapas,111,Zinacantán,002-0,13,149,52.9809,111_002-0_013,3131.05394611,527858.267209,111_002-0_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,4
07061008-4017,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,17,559,1492.2284,061_008-4_017,23235.4624477,15177402.4242,061_008-4_017,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
07080006-0005,7,Chiapas,80,Siltepec,006-0,5,1228,1502.7989,080_006-0_005,16206.7003333,15168706.828,080_006-0_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,14
07065007-9007,7,Chiapas,65,Palenque,007-9,7,5,1615.0997,065_007-9_007,20769.8267124,16149170.3519,065_007-9_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07017014-1003,7,Chiapas,17,Cintalapa,014-1,3,21,570.747,017_014-1_003,14570.5846245,5688819.80466,017_014-1_003,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07034007-2009,7,Chiapas,34,Frontera Comalapa,007-2,9,71,1041.0673,034_007-2_009,14156.6771012,10329020.9428,034_007-2_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3
07034008-7006,7,Chiapas,34,Frontera Comalapa,008-7,6,394,603.6798,034_008-7_006,14424.5711771,6635222.45076,034_008-7_006,,,,,,,,1,,,,,5,,,,,,,2,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
07030002-0006,7,Chiapas,30,Chicomuselo,002-0,6,467,852.5048,030_002-0_006,15300.1389477,9871307.69509,030_002-0_006,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3
07020017-0001,7,Chiapas,20,La Concordia,017-0,1,14,1402.4542,020_017-0_001,18152.5283241,13924425.8612,020_017-0_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07042001-7005,7,Chiapas,42,Ixhuatán,001-7,5,982,1274.8968,042_001-7_005,14660.0123119,13103720.9838,042_001-7_005,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07001004-8016,7,Chiapas,1,Acacoyagua,004-8,16,30,596.9271,001_004-8_016,11620.9698039,5910541.07554,001_004-8_016,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07005001-3027,7,Chiapas,5,Amatán,001-3,27,349,975.7598,005_001-3_027,14179.3554546,9747817.78342,005_001-3_027,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
07101038-2004,7,Chiapas,101,Tuxtla Gutiérrez,038-2,4,6,1126.0357,101_038-2_004,22219.6376689,11126378.9391,101_038-2_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
07115003-4012,7,Chiapas,115,Maravilla Tenejapa,003-4,12,29,959.7463,115_003-4_012,13910.4950199,9753626.03988,115_003-4_012,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07030008-8014,7,Chiapas,30,Chicomuselo,008-8,14,85,336.2558,030_008-8_014,13244.438817,3492689.86828,030_008-8_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07089022-5001,7,Chiapas,89,Tapachula,022-5,1,3,3.0947,089_022-5_001,855.934614351,30630.3113818,089_022-5_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
07009010-1002,7,Chiapas,9,Arriaga,010-1,2,41,2544.1394,009_010-1_002,37566.4078996,25419278.7862,009_010-1_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
07052038-6002,7,Chiapas,52,Las Margaritas,038-6,2,255,718.6825,052_038-6_002,16029.7186414,7436361.94574,052_038-6_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07046016-2012,7,Chiapas,46,Jiquipilas,016-2,12,148,1414.3221,046_016-2_012,16347.061325,14135171.8834,046_016-2_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07047003-2012,7,Chiapas,47,Jitotol,003-2,12,14,169.3053,047_003-2_012,12116.4191644,1688830.04988,047_003-2_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07021003-6016,7,Chiapas,21,Copainalá,003-6,16,35,104.4715,021_003-6_016,4666.21247595,1042037.73547,021_003-6_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
