control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07108012-9007,7,Chiapas,108,Villaflores,012-9,7,402,2082.319,108_012-9_007,52625.4534498,21047651.0965,108_012-9_007,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
07047002-8011,7,Chiapas,47,Jitotol,002-8,11,45,390.2624,047_002-8_011,10246.3214522,3893732.85651,047_002-8_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,19
07065023-8002,7,Chiapas,65,Palenque,023-8,2,324,1711.4465,065_023-8_002,23988.5454154,17398416.1925,065_023-8_002,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07087002-3004,7,Chiapas,87,Suchiate,002-3,4,496,938.2851,087_002-3_004,14371.9900157,10076649.7369,087_002-3_004,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108024-1001,7,Chiapas,108,Villaflores,024-1,1,122,3582.0891,108_024-1_001,23129.026207,35932201.7423,108_024-1_001,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,7
07089027-8005,7,Chiapas,89,Tapachula,027-8,5,23,867.2442,089_027-8_005,15824.8821499,8568682.17697,089_027-8_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07057005-8027,7,Chiapas,57,Motozintla,005-8,27,495,364.8819,057_005-8_027,10649.1719174,3673064.71232,057_005-8_027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,5
07061010-1016,7,Chiapas,61,Ocozocoautla de Espinosa,010-1,16,22,505.7756,061_010-1_016,11261.9652417,5042191.86783,061_010-1_016,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07103002-9002,7,Chiapas,103,Tuzantán,002-9,2,141,226.4124,103_002-9_002,9523.56694609,2280353.33749,103_002-9_002,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07013004-9022,7,Chiapas,13,Bochil,004-9,22,428,503.9321,013_004-9_022,10014.6859806,5308510.3241,013_004-9_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,2
07013003-4023,7,Chiapas,13,Bochil,003-4,23,56,81.4816,013_003-4_023,3939.22127291,853941.556066,013_003-4_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07061019-2001,7,Chiapas,61,Ocozocoautla de Espinosa,019-2,1,986,4563.2766,061_019-2_001,29673.5750551,47317784.0673,061_019-2_001,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07099012-8029,7,Chiapas,99,La Trinitaria,012-8,29,74,221.2371,099_012-8_029,9755.64429935,2198728.91783,099_012-8_029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,32
07017013-7001,7,Chiapas,17,Cintalapa,013-7,1,85,1716.0133,017_013-7_001,18050.8292824,17106520.4634,017_013-7_001,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07046011-A014,7,Chiapas,46,Jiquipilas,011-A,14,45,894.6722,046_011-A_014,22797.7093027,8953263.94645,046_011-A_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,20
07017016-0001,7,Chiapas,17,Cintalapa,016-0,1,5,771.1104,017_016-0_001,15295.60178,7685426.97845,017_016-0_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07017026-4013,7,Chiapas,17,Cintalapa,026-4,13,157,174.8156,017_026-4_013,6496.02157372,1901759.58978,017_026-4_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07080002-2007,7,Chiapas,80,Siltepec,002-2,7,295,2732.4621,080_002-2_007,21814.3603942,27096409.0749,080_002-2_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,4
07089029-7027,7,Chiapas,89,Tapachula,029-7,27,30,444.1899,089_029-7_027,11791.3729255,4384679.0326,089_029-7_027,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07057003-9002,7,Chiapas,57,Motozintla,003-9,2,103,3149.9472,057_003-9_002,46645.6219923,30964995.2882,057_003-9_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07047003-2021,7,Chiapas,47,Jitotol,003-2,21,46,25.1254,047_003-2_021,2076.0066874,259772.972029,047_003-2_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,11
07013008-7011,7,Chiapas,13,Bochil,008-7,11,362,1022.4046,013_008-7_011,19977.8623553,10945928.1387,013_008-7_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3
07077002-7015,7,Chiapas,77,Salto de Agua,002-7,15,14,581.3249,077_002-7_015,13401.3158503,5811036.5021,077_002-7_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07099015-1004,7,Chiapas,99,La Trinitaria,015-1,4,45,1524.204,099_015-1_004,29477.6444173,15138084.4243,099_015-1_004,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
07046016-2010,7,Chiapas,46,Jiquipilas,016-2,10,25,83.6057,046_016-2_010,3938.17527577,831826.578161,046_016-2_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,18
07067004-A001,7,Chiapas,67,Pantepec,004-A,1,1374,2377.1185,067_004-A_001,52339.1431077,24279219.3081,067_004-A_001,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07013007-2002,7,Chiapas,13,Bochil,007-2,2,1372,2920.5566,013_007-2_002,34547.0362274,29326526.0095,013_007-2_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07051011-A003,7,Chiapas,51,Mapastepec,011-A,3,277,3461.658,051_011-A_003,28932.4006267,34712549.936,051_011-A_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
07108014-8021,7,Chiapas,108,Villaflores,014-8,21,59,248.8517,108_014-8_021,11926.0476368,2538232.61659,108_014-8_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07027008-2027,7,Chiapas,27,Chiapa de Corzo,008-2,27,170,334.0561,027_008-2_027,9501.46160947,4331925.57655,027_008-2_027,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108014-8009,7,Chiapas,108,Villaflores,014-8,9,22,777.6476,108_014-8_009,25404.5652965,7736422.26371,108_014-8_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07078010-9006,7,Chiapas,78,San Cristóbal de las Casas,010-9,6,271,1022.9108,078_010-9_006,17821.6804593,10328326.0578,078_010-9_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,12
07062010-9010,7,Chiapas,62,Ostuacán,010-9,10,27,156.2193,062_010-9_010,5689.95090196,1561276.60024,062_010-9_010,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07044002-6007,7,Chiapas,44,Ixtapa,002-6,7,60,72.7598,044_002-6_007,3431.96829812,725262.384458,044_002-6_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2
07059032-A005,7,Chiapas,59,Ocosingo,032-A,5,56,150.2541,059_032-A_005,6148.49752375,1498407.45744,059_032-A_005,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017014-1001,7,Chiapas,17,Cintalapa,014-1,1,300,2378.3144,017_014-1_001,24954.9416258,23808335.9544,017_014-1_001,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,40
07061013-5004,7,Chiapas,61,Ocozocoautla de Espinosa,013-5,4,45,374.0913,061_013-5_004,8025.97729106,3728909.16788,061_013-5_004,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108010-A005,7,Chiapas,108,Villaflores,010-A,5,86,304.4438,108_010-A_005,9434.43329589,3029877.58777,108_010-A_005,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,41
07061010-1003,7,Chiapas,61,Ocozocoautla de Espinosa,010-1,3,75,122.4611,061_010-1_003,6979.25798623,1413621.3574,061_010-1_003,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07102003-6003,7,Chiapas,102,Tuxtla Chico,003-6,3,68,373.386,102_003-6_003,10537.4794886,3689244.50167,102_003-6_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
07108008-2012,7,Chiapas,108,Villaflores,008-2,12,26,97.4801,108_008-2_012,5339.21977809,994383.096073,108_008-2_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
07107026-3018,7,Chiapas,107,Villa Corzo,026-3,18,113,2140.4403,107_026-3_018,22492.1788464,21644006.1105,107_026-3_018,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3
07089029-7022,7,Chiapas,89,Tapachula,029-7,22,26,819.2243,089_029-7_022,13437.0257859,8087391.20379,089_029-7_022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2
07108014-8010,7,Chiapas,108,Villaflores,014-8,10,346,1878.5545,108_014-8_010,26084.3584397,18888993.8488,108_014-8_010,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07069014-8014,7,Chiapas,69,Pijijiapan,014-8,14,1,110.0024,069_014-8_014,14171.2300712,1090216.58225,069_014-8_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
07080009-4004,7,Chiapas,80,Siltepec,009-4,4,2,727.3536,080_009-4_004,12185.6423199,7206968.53405,080_009-4_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07098001-2002,7,Chiapas,98,Totolapa,001-2,2,2074,2928.1552,098_001-2_002,28950.2270019,30551772.6469,098_001-2_002,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,3
07030008-8018,7,Chiapas,30,Chicomuselo,008-8,18,38,252.3295,030_008-8_018,7984.12380886,2511457.9798,030_008-8_018,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07046010-5011,7,Chiapas,46,Jiquipilas,010-5,11,170,491.4673,046_010-5_011,15777.2371273,5248637.13666,046_010-5_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07108012-9012,7,Chiapas,108,Villaflores,012-9,12,57,317.0402,108_012-9_012,8110.53866723,3176295.62568,108_012-9_012,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07094004-7001,7,Chiapas,94,Teopisca,004-7,1,235,296.8912,094_004-7_001,9563.66917421,2989820.29793,094_004-7_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07026004-7007,7,Chiapas,26,Chenalhó,004-7,7,15,92.5605,026_004-7_007,4727.27881655,922729.027386,026_004-7_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,12
07065022-3005,7,Chiapas,65,Palenque,022-3,5,87,1200.7123,065_022-3_005,21541.7853762,12067168.6339,065_022-3_005,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,4
07020011-3006,7,Chiapas,20,La Concordia,011-3,6,866,5526.8967,020_011-3_006,41207.4790937,58545361.4537,020_011-3_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
07047003-2023,7,Chiapas,47,Jitotol,003-2,23,12,11.4867,047_003-2_023,1362.04782418,114580.591938,047_003-2_023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3
07046010-5003,7,Chiapas,46,Jiquipilas,010-5,3,37,2024.9449,046_010-5_003,43683.1084565,20156652.2566,046_010-5_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07012006-0010,7,Chiapas,12,Berriozábal,006-0,10,28,602.9623,012_006-0_010,11963.4422004,6007886.77782,012_006-0_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07059049-5001,7,Chiapas,59,Ocosingo,049-5,1,29,10937.4841,059_049-5_001,48252.1199187,109100374.987,059_049-5_001,,,,,,,,,,,,,,,7,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
07094004-7014,7,Chiapas,94,Teopisca,004-7,14,717,1662.1614,094_004-7_014,20331.8957141,16780670.1085,094_004-7_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07017013-7004,7,Chiapas,17,Cintalapa,013-7,4,192,1390.6636,017_013-7_004,25220.3441627,14094207.6147,017_013-7_004,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,12
07072004-A002,7,Chiapas,72,Pueblo Nuevo Solistahuacán,004-A,2,450,1173.0978,072_004-A_002,22268.529934,12112365.6234,072_004-A_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07099007-7003,7,Chiapas,99,La Trinitaria,007-7,3,240,703.4418,099_007-7_003,14072.7597148,7415694.7309,099_007-7_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07107017-4013,7,Chiapas,107,Villa Corzo,017-4,13,18,950.5733,107_017-4_013,16546.1815693,9444346.37082,107_017-4_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07065020-4008,7,Chiapas,65,Palenque,020-4,8,64,1352.9291,065_020-4_008,19542.6622413,14063362.3399,065_020-4_008,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07106011-A004,7,Chiapas,106,Venustiano Carranza,011-A,4,485,2501.9944,106_011-A_004,32550.1779225,25684229.9873,106_011-A_004,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07044002-6012,7,Chiapas,44,Ixtapa,002-6,12,92,361.7348,044_002-6_012,12170.3098058,3605214.8491,044_002-6_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
07017021-1009,7,Chiapas,17,Cintalapa,021-1,9,119,488.9125,017_021-1_009,11939.4881779,5065799.40334,017_021-1_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
07030003-5013,7,Chiapas,30,Chicomuselo,003-5,13,116,277.5554,030_003-5_013,7845.98628326,2945828.35364,030_003-5_013,,,,,,,1,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
07107016-A012,7,Chiapas,107,Villa Corzo,016-A,12,25,915.9426,107_016-A_012,15470.5442508,9099783.90712,107_016-A_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07106006-9006,7,Chiapas,106,Venustiano Carranza,006-9,6,653,2224.6592,106_006-9_006,26389.1316129,22768007.8713,106_006-9_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,16
07046004-A003,7,Chiapas,46,Jiquipilas,004-A,3,114,173.2715,046_004-A_003,10468.1256183,1906548.8108,046_004-A_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017014-1016,7,Chiapas,17,Cintalapa,014-1,16,19,76.5632,017_014-1_016,5142.37837156,763066.011801,017_014-1_016,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07089028-2021,7,Chiapas,89,Tapachula,028-2,21,156,728.8052,089_028-2_021,14146.3256101,7776225.76243,089_028-2_021,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07077002-7011,7,Chiapas,77,Salto de Agua,002-7,11,11,787.3537,077_002-7_011,16815.9036996,7871072.86097,077_002-7_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07030007-3002,7,Chiapas,30,Chicomuselo,007-3,2,811,5123.3102,030_007-3_002,35546.5520675,51534822.5657,030_007-3_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07027007-8034,7,Chiapas,27,Chiapa de Corzo,007-8,34,79,294.7617,027_007-8_034,9105.35720366,3028040.46299,027_007-8_034,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07083006-2001,7,Chiapas,83,Socoltenango,006-2,1,727,2614.4916,083_006-2_001,38781.413732,26640213.1857,083_006-2_001,,,,,,,,,,,,,,,,,,,,9,,,,,13,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,1,,,93
07089028-2011,7,Chiapas,89,Tapachula,028-2,11,95,237.9787,089_028-2_011,7207.63663746,2350638.61337,089_028-2_011,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
07046016-2018,7,Chiapas,46,Jiquipilas,016-2,18,25,82.5132,046_016-2_018,3790.18252499,821109.283155,046_016-2_018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07108009-7006,7,Chiapas,108,Villaflores,009-7,6,461,1421.2394,108_009-7_006,23893.3426149,14479005.4635,108_009-7_006,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07001003-3016,7,Chiapas,1,Acacoyagua,003-3,16,60,388.703,001_003-3_016,9770.34891726,3849941.8439,001_003-3_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,5
07099012-8026,7,Chiapas,99,La Trinitaria,012-8,26,47,51.5062,099_012-8_026,4197.66951561,594416.710077,099_012-8_026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07017026-4006,7,Chiapas,17,Cintalapa,026-4,6,104,825.7814,017_026-4_006,22118.4890654,8222903.91825,017_026-4_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07065022-3008,7,Chiapas,65,Palenque,022-3,8,185,2453.9125,065_022-3_008,24961.3768514,25189492.9406,065_022-3_008,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07059005-2009,7,Chiapas,59,Ocosingo,005-2,9,320,1744.154,059_005-2_009,21261.2121197,18573022.4128,059_005-2_009,,,,,,,,,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
07021004-0021,7,Chiapas,21,Copainalá,004-0,21,34,629.3638,021_004-0_021,19951.7403405,6277363.54285,021_004-0_021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07069013-3010,7,Chiapas,69,Pijijiapan,013-3,10,51,2382.2969,069_013-3_010,34097.6863927,23610781.4388,069_013-3_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07035001-2007,7,Chiapas,35,Frontera Hidalgo,001-2,7,386,1272.1533,035_001-2_007,20598.3239394,13935961.1901,035_001-2_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
07099011-3004,7,Chiapas,99,La Trinitaria,011-3,4,994,3015.554,099_011-3_004,27764.5735786,31441053.8631,099_011-3_004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
07009004-6007,7,Chiapas,9,Arriaga,004-6,7,38,1017.875,009_004-6_007,19353.9690441,10126035.0662,009_004-6_007,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,15
